name,description,log2FoldChange,pvalue,padj
ENSG00000234160.1,AL513165.1,0.286760471435,0.351096885862,0.511140607243
ENSG00000234161.1,PABPC5-AS1,0.43371411265,0.565985056307,0.704961313894
ENSG00000234166.1,ARHGEF19-AS1,-1.78348226371999,0.0202102485967,0.0614274735093
ENSG00000234167.1,ELOBP4,1.03133056779,0.811653913727,1
ENSG00000234168.2,LINC01039,-0.377163918922762,0.929270492197,1
ENSG00000234171.2,RNASEH1-AS1,-0.0137156225047324,0.962406977585,0.978528878094
ENSG00000234175.1,AL355355.2,1.2627545994,0.0267675827381,0.0761877793405
ENSG00000234176.1,HSPA8P1,1.6415710194,0.143460689755,0.269062990038
ENSG00000234181.1,AL353795.2,-0.929068818504957,0.305701464905,0.463025533692
ENSG00000234182.1,AL731533.1,1.83052449366,0.671813750995,1
ENSG00000234183.1,LINC01952,-0.498650561617648,0.907700414574,1
ENSG00000234185.2,AC068533.3,0.745749357884,0.699276541995,1
ENSG00000234186.2,C16orf82,-1.64296071798724,0.34394623623,1
ENSG00000234193.1,AC013476.1,1.52725582342,0.0697649749073,0.156818153426
ENSG00000234197.1,ETV5-AS1,-1.65319277586089,0.364892971043,1
ENSG00000234199.2,LINC01191,1.22468292647,0.608818623736,1
ENSG00000234200.2,AC243591.1,1.03133056779,0.811653913727,1
ENSG00000234203.1,AC004771.2,1.04683450236,0.000411574842737,0.00298775637875
ENSG00000234206.5,AL121957.1,2.45217865913,0.0101822999896,0.0362141686022
ENSG00000234207.1,AC096570.2,1.03133056779,0.811653913727,1
ENSG00000234208.1,AC005529.1,-1.22011869377663,0.777190586679,1
ENSG00000234210.1,AC006372.3,1.03122385332,0.255376511799,0.407409215515
ENSG00000234213.1,FHP1,-1.78335869648039,0.116276691075,0.230094120507
ENSG00000234215.2,AC006012.1,-0.165695063438672,0.918614924363,1
ENSG00000234219.1,CDCA4P4,1.68197457359,0.474120813297,1
ENSG00000234222.6,LIX1L-AS1,-0.217773062595006,0.242068923923,0.391886334905
ENSG00000234224.2,TMEM229A,1.9037905742,0.00557582060472,0.0226890418695
ENSG00000234228.1,NCLP2,1.72293164598,0.676396137513,1
ENSG00000234229.8,LINC01505,2.49447737763,0.209494717559,1
ENSG00000234230.1,ZFX-AS1,1.01686191948,0.37221567108,0.532851537853
ENSG00000234231.4,AC093616.1,0.630956366355,0.215275368161,0.359740971482
ENSG00000234232.7,AC243772.3,0.275348804113,0.597833589773,0.730271937403
ENSG00000234233.1,KCNH1-IT1,1.76066928571,0.0175878307048,0.0551660292364
ENSG00000234235.1,BOK-AS1,-0.109832140746174,0.899551289444,0.941297629881
ENSG00000234238.1,AC022498.1,3.31692627957,0.206745885303,1
ENSG00000234239.1,CFL1P8,-0.620965837858435,0.825805301682,1
